PalashSetu Complete Hindi to Santali Word List
===============================================
Total entries: 7503
Hand-curated Hindi->Santali pairs: 7503
AI4Bharat model Ol Chiki tokens added: 0
AI4Bharat raw model tokens (Ol Chiki): 5448
Unique clean root words from model: 4597

Hindi/Phonetic Source               | Santali (Ol Chiki)          | Pronunciation (Devanagari)
----------------------------------------------------------------------------------------------------
-आ                                  | ᱼᱟ                             | -आ
-आग                                 | ᱼᱟᱜ                            | -आग
-आय                                 | ᱼᱟᱭ                            | -आय
-ए                                  | ᱼᱮ                             | -ए
-कअ                                 | ᱼᱠᱚ                            | -कअ
-ग                                  | ᱼᱜ                             | -ग
-ज                                  | ᱼᱡ                             | -ज
-प                                  | ᱼᱯ                             | -प
-पआ                                 | ᱼᱯᱟ                            | -पआ
-बआ                                 | ᱼᱵᱟ                            | -बआ
-म                                  | ᱼᱢ                             | -म
-मआ                                 | ᱼᱢᱟ                            | -मआ
-स                                  | ᱼᱥ                             | -स
-सउपउर                              | ᱼᱥᱩᱯᱩᱨ                         | -सउपउर
अतइ                                 | ᱚᱛᱤ                            | अतइ
अतए                                 | ᱚᱛᱮ                            | अतए
अतनअग                               | ᱚᱛᱱᱚᱜ                          | अतनअग
अतह                                 | ᱚᱛᱷ                            | अतह
अतहइ                                | ᱚᱛᱷᱤ                           | अतहइ
अति सुंदर                           | ᱟᱹᱰᱤ ᱪᱚᱨᱚᱠ                     | आᱹडइ चअरअक
अथवा                                | ᱥᱮ                             | सए
अद                                  | ᱚᱫ                             | अद
अदअर                                | ᱚᱫᱚᱨ                           | अदअर
अदआ                                 | ᱚᱫᱟ                            | अदआ
अदइ                                 | ᱚᱫᱤ                            | अदइ
अदए                                 | ᱚᱫᱮ                            | अदए
अदह                                 | ᱚᱫᱷ                            | अदह
अदहइ                                | ᱚᱫᱷᱤ                           | अदहइ
अदहइकआर                             | ᱚᱫᱷᱤᱠᱟᱨ                        | अदहइकआर
अद्                                 | ᱚᱫᱽ                            | अद्
अद्रअ                               | ᱚᱫᱽᱨᱚ                          | अद्रअ
अधिक                                | ᱰᱷᱮᱨ                           | डहएर
अध्यापक                             | ᱢᱟᱪᱮᱛ                          | मआचएत
अध्यापिका                           | ᱢᱟᱪᱮᱛᱟᱹᱱᱤ                      | मआचएतआᱹनइ
अध्याय                              | ᱦᱟᱹᱴᱤᱧ                         | हआᱹठइञ
अन                                  | ᱚᱱ                             | अन
अनअड़                               | ᱚᱱᱚᱲ                           | अनअड़
अनअणह                               | ᱚᱱᱚᱬᱦ                          | अनअणह
अनअणहइयआᱹ                           | ᱚᱱᱚᱬᱦᱤᱭᱟᱹ                      | अनअणहइयआᱹ
अनअणहए                              | ᱚᱱᱚᱬᱦᱮ                         | अनअणहए
अनअणहएं                             | ᱚᱱᱚᱬᱦᱮᱸ                        | अनअणहएं
अनअत                                | ᱚᱱᱚᱛ                           | अनअत
अनअनतअ                              | ᱚᱱᱚᱱᱛᱚ                         | अनअनतअ
अनअल                                | ᱚᱱᱚᱞ                           | अनअल
अनअलइयआ                             | ᱚᱱᱚᱞᱤᱭᱟ                        | अनअलइयआ
अनअलइयआᱹ                            | ᱚᱱᱚᱞᱤᱭᱟᱹ                       | अनअलइयआᱹ
अनआ                                 | ᱚᱱᱟ                            | अनआ
अनआकअ                               | ᱚᱱᱟᱠᱚ                          | अनआकअ
अनआग                                | ᱚᱱᱟᱜ                           | अनआग
अनआगए                               | ᱚᱱᱟᱜᱮ                          | अनआगए
अनआतए                               | ᱚᱱᱟᱛᱮ                          | अनआतए
अनआतह                               | ᱚᱱᱟᱛᱷ                          | अनआतह
अनआदअ                               | ᱚᱱᱟᱫᱚ                          | अनआदअ
अनआर                                | ᱚᱱᱟᱨ                           | अनआर
अनआरए                               | ᱚᱱᱟᱨᱮ                          | अनआरए
अनआल                                | ᱚᱱᱟᱞ                           | अनआल
अनइ                                 | ᱚᱱᱤ                            | अनइ
अनइक                                | ᱚᱱᱤᱠ                           | अनइक
अनउ                                 | ᱚᱱᱩ                            | अनउ
अनउस                                | ᱚᱱᱩᱥ                           | अनउस
अनकआ                                | ᱚᱱᱠᱟ                           | अनकआ
अनकआतए                              | ᱚᱱᱠᱟᱛᱮ                         | अनकआतए
अनकआन                               | ᱚᱱᱠᱟᱱ                          | अनकआन
अनड                                 | ᱚᱱᱰ                            | अनड
अनडए                                | ᱚᱱᱰᱮ                           | अनडए
अनत                                 | ᱚᱱᱛ                            | अनत
अनतअ                                | ᱚᱱᱛᱚ                           | अनतअ
अनतअर                               | ᱚᱱᱛᱚᱨ                          | अनतअर
अनदअ                                | ᱚᱱᱫᱚ                           | अनदअ
अनदआ                                | ᱚᱱᱫᱟ                           | अनदआ
अनपउर                               | ᱚᱱᱯᱩᱨ                          | अनपउर
अनलआइन                              | ᱚᱱᱞᱟᱤᱱ                         | अनलआइन
अनलआयइन                             | ᱚᱱᱞᱟᱭᱤᱱ                        | अनलआयइन
अनार                                | ᱟᱱᱟᱨ                           | आनआर
अनेक                                | ᱟᱹᱰᱤ                           | आᱹडइ
अप                                  | ᱚᱯ                             | अप
अपना                                | ᱟᱯᱱᱟᱨᱟᱜ                        | आपनआरआग
अपनी                                | ᱟᱯᱱᱟᱨᱟᱜ                        | आपनआरआग
अपनी किताब खोलो                     | ᱟᱢᱟᱜ ᱯᱩᱛᱷᱤ ᱡᱷᱤᱡᱽ ᱢᱮ            | आमआग पउतहइ जहइज् मए
अपनी जगह पर बैठ जाओ                 | ᱟᱢᱟᱜ ᱴᱷᱟᱶ ᱨᱮ ᱫᱩᱲᱩᱵᱽ ᱢᱮ         | आमआग ठहआव् रए दउड़उब् मए
अपनी जगह पर बैठो                    | ᱟᱢᱟᱜ ᱴᱷᱟᱶ ᱨᱮ ᱫᱩᱲᱩᱵ ᱢᱮ          | आमआग ठहआव् रए दउड़उब मए
अपने                                | ᱟᱯᱱᱟᱨᱟᱜ                        | आपनआरआग
अपह                                 | ᱚᱯᱷ                            | अपह
अपहइस                               | ᱚᱯᱷᱤᱥ                          | अपहइस
अपहइसइयआल                           | ᱚᱯᱷᱤᱥᱤᱭᱟᱞ                      | अपहइसइयआल
अब                                  | ᱱᱤᱛ                            | नइत
अबअन                                | ᱚᱵᱚᱱ                           | अबअन
अबअर                                | ᱚᱵᱚᱨ                           | अबअर
अबअस                                | ᱚᱵᱚᱥ                           | अबअस
अबअसतआ                              | ᱚᱵᱚᱥᱛᱟ                         | अबअसतआ
अबआ                                 | ᱚᱵᱟ                            | अबआ
अबआन                                | ᱚᱵᱟᱱ                           | अबआन
अबइ                                 | ᱚᱵᱤ                            | अबइ
अबइद                                | ᱚᱵᱤᱫ                           | अबइद
अबए                                 | ᱚᱵᱮ                            | अबए
अबह                                 | ᱚᱵᱷ                            | अबह
अबहअर                               | ᱚᱵᱷᱚᱨ                          | अबहअर
अबहआ                                | ᱚᱵᱷᱟ                           | अबहआ
अबहइन                               | ᱚᱵᱷᱤᱱ                          | अबहइन
अबहइनअय                             | ᱚᱵᱷᱤᱱᱚᱭ                        | अबहइनअय
अब्                                 | ᱚᱵᱽ                            | अब्
अभी                                 | ᱱᱤᱛᱚᱜ                          | नइतअग
अभ्यास                              | ᱯᱟᱨᱟᱠᱷ                         | पआरआकह
अम                                  | ᱚᱢ                             | अम
अमअन                                | ᱚᱢᱚᱱ                           | अमअन
